recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3624464,"Brief von Karl F. Bonhoeffer an Karl Wirtz, 18.12.1934",1934-12-18,"Bonhoeffer, Karl F. (1899-1957)","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624472,"Brief von Karl Wirtz an Clemens Schaefer, 18.12.1934",1934-12-18,"Wirtz, Karl (1910-1994)","Schaefer, Clemens (1878-1968) [vermutlich]",,Brief
DE-611-HS-3624607,"Brief von Carl Wirtz an Karl F. Bonhoeffer, 16.12.1934",1934-12-16,"Wirtz, Carl","Bonhoeffer, Karl F. (1899-1957)",,Brief
DE-611-HS-3624614,"Brief von Carl Wirtz an Karl Wirtz, 16.12.1934",1934-12-16,"Wirtz, Carl","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624620,"Brief von Karl Wirtz an Karl F. Bonhoeffer, 15.12.1934",1934-12-15,"Wirtz, Karl (1910-1994)","Bonhoeffer, Karl F. (1899-1957)",,Brief
DE-611-HS-3624624,"Brief von Karl Wirtz an Karl Scheel, 15.12.1934",1934-12-15,"Wirtz, Karl (1910-1994)","Scheel, Karl (1866-1936)",,Brief
DE-611-HS-3624628,"Brief von Physikalisch-Chemisches Institut (Leipzig) an Karl Wirtz, 14.12.1934",1934-12-14,Physikalisch-Chemisches Institut (Leipzig),"Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624633,"Brief von Carl Wirtz an Karl Wirtz, 13.12.1934",1934-12-13,"Wirtz, Carl","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624650,"Brief von Karl Wirtz an Notgemeinschaft der Deutschen Wissenschaft, 14.12.1934",1934-12-14,"Wirtz, Karl (1910-1994)",Notgemeinschaft der Deutschen Wissenschaft (1920-1951),,Brief
DE-611-HS-3624655,"Brief von Karl Wirtz an Notgemeinschaft der Deutschen Wissenschaft, 13.12.1934",1934-12-13,"Wirtz, Karl (1910-1994)",Notgemeinschaft der Deutschen Wissenschaft (1920-1951),,Brief
DE-611-HS-3624666,"Brief von Karl Wirtz an Notgemeinschaft der Deutschen Wissenschaft, 12.12.1934",1934-12-12,"Wirtz, Karl (1910-1994)",Notgemeinschaft der Deutschen Wissenschaft (1920-1951),,Brief
DE-611-HS-3624675,"Brief von Karl Wirtz an Karl F. Bonhoeffer, 12.12.1934",1934-12-12,"Wirtz, Karl (1910-1994)","Bonhoeffer, Karl F. (1899-1957)",,Brief
DE-611-HS-3624680,"Brief von Karl Wirtz an Notgemeinschaft der Deutschen Wissenschaft, 12.12.1934",1934-12-12,"Wirtz, Karl (1910-1994)",Notgemeinschaft der Deutschen Wissenschaft (1920-1951),,Brief
DE-611-HS-3624706,"Brief von Carl Wirtz an Karl Wirtz, 09.12.1934",1934-12-09,"Wirtz, Carl","Wirtz, Karl (1910-1994)",,Brief
DE-611-HS-3624768,"Brief von Karl Wirtz an Carl Wirtz, 08.12.1934",1934-12-08,"Wirtz, Karl (1910-1994)","Wirtz, Carl",,Brief
